,totalHotWater,totalWater,totalTime,minUseWaterTime,maxUseWaterTime,recordNum,mac_set,pdate_set
130,395.58,535.8699999999999,73,2021-11-05 14:55:32+00:00,2021-11-05 14:56:46+00:00,4,0007A8E3B09A,20211105
131,2010.1599999999999,2809.58,231,2021-11-05 14:57:54+00:00,2021-11-05 15:03:28+00:00,5,0007A8E3B09A,20211105
132,1905.51,1905.51,214,2021-11-05 15:11:56+00:00,2021-11-05 15:16:19+00:00,6,0007A8E3B09A,20211105
133,82.3,82.3,25,2021-11-05 15:19:57+00:00,2021-11-05 15:20:42+00:00,7,0007A8E3B09A,20211105
134,1257.82,1257.82,112,2021-11-05 15:28:23+00:00,2021-11-05 15:31:24+00:00,8,0007A8E3B09A,20211105
135,2276.4399999999996,2276.4399999999996,248,2021-11-05 15:32:39+00:00,2021-11-05 15:38:07+00:00,9,0007A8E3B09A,20211105
136,56.39,56.39,17,2021-11-05 15:39:11+00:00,2021-11-05 15:39:37+00:00,10,0007A8E3B09A,20211105
137,6455.1,7924.5599999999995,89,2021-11-04 22:44:33+00:00,2021-11-04 22:46:17+00:00,1,0007A8E3B33F,20211105
138,1350.25,1789.3600000000001,23,2021-11-04 23:18:47+00:00,2021-11-04 23:20:14+00:00,2,0007A8E3B33F,20211105
139,1286.04,1704.27,16,2021-11-04 23:38:20+00:00,2021-11-04 23:39:20+00:00,3,0007A8E3B33F,20211105
140,2966.15,4027.21,45,2021-11-05 06:00:15+00:00,2021-11-05 06:02:07+00:00,4,0007A8E3B33F,20211105
141,2808.21,3721.4399999999996,46,2021-11-05 06:05:25+00:00,2021-11-05 06:06:36+00:00,5,0007A8E3B33F,20211105
142,4661.79,6258.9,100,2021-11-05 07:34:23+00:00,2021-11-05 07:37:04+00:00,6,0007A8E3B33F,20211105
143,2856.3799999999997,3692.4,42,2021-11-05 10:10:47+00:00,2021-11-05 10:12:17+00:00,7,0007A8E3B33F,20211105
144,2357.45,3200.7700000000004,34,2021-11-05 10:38:32+00:00,2021-11-05 10:39:17+00:00,8,0007A8E3B33F,20211105
145,9.24,9.24,4,2021-11-04 22:31:10+00:00,2021-11-04 22:31:30+00:00,1,0007A8E3B34F,20211105
146,196.97,197.23,30,2021-11-04 22:53:41+00:00,2021-11-04 22:55:07+00:00,2,0007A8E3B34F,20211105
147,427.85,480.22999999999996,76,2021-11-04 22:56:15+00:00,2021-11-04 22:59:07+00:00,3,0007A8E3B34F,20211105
148,4.98,7.37,3,2021-11-04 23:38:03+00:00,2021-11-04 23:38:17+00:00,4,0007A8E3B34F,20211105
149,376.97999999999996,558.97,60,2021-11-05 00:14:09+00:00,2021-11-05 00:16:05+00:00,5,0007A8E3B34F,20211105
150,99.97,145.47,20,2021-11-05 00:18:28+00:00,2021-11-05 00:19:05+00:00,6,0007A8E3B34F,20211105
151,62.46,77.53,14,2021-11-05 03:08:42+00:00,2021-11-05 03:09:03+00:00,7,0007A8E3B34F,20211105
152,4.98,5.84,3,2021-11-05 04:49:26+00:00,2021-11-05 04:49:36+00:00,8,0007A8E3B34F,20211105
153,29.96,32.03,7,2021-11-05 08:56:32+00:00,2021-11-05 08:56:57+00:00,9,0007A8E3B34F,20211105
154,1731.51,1807.5000000000002,406,2021-11-05 09:12:14+00:00,2021-11-05 09:22:22+00:00,10,0007A8E3B34F,20211105
155,251.32000000000002,251.32000000000002,57,2021-11-05 12:20:15+00:00,2021-11-05 12:26:32+00:00,11,0007A8E3B34F,20211105
156,699.77,1016.0,15,2021-11-04 23:03:05+00:00,2021-11-04 23:03:30+00:00,1,0007A8E3B35E,20211105
157,1735.8899999999999,2417.29,42,2021-11-04 23:10:03+00:00,2021-11-04 23:11:27+00:00,2,0007A8E3B35E,20211105
158,3235.2,4673.32,79,2021-11-04 23:12:34+00:00,2021-11-04 23:14:41+00:00,3,0007A8E3B35E,20211105
159,2156.04,2933.91,31,2021-11-05 08:31:42+00:00,2021-11-05 08:32:31+00:00,4,0007A8E3B35E,20211105
160,2080.82,2927.08,49,2021-11-05 09:27:36+00:00,2021-11-05 09:28:38+00:00,5,0007A8E3B35E,20211105
161,9860.41,14487.18,367,2021-11-05 11:14:10+00:00,2021-11-05 11:20:19+00:00,6,0007A8E3B35E,20211105
162,596.8100000000001,1214.19,86,2021-11-04 23:38:01+00:00,2021-11-04 23:39:44+00:00,1,0007A8E3B399,20211105
163,133.57999999999998,262.57,21,2021-11-05 11:23:37+00:00,2021-11-05 11:24:37+00:00,2,0007A8E3B399,20211105
164,250.69000000000003,535.9499999999999,33,2021-11-05 13:17:01+00:00,2021-11-05 13:17:38+00:00,3,0007A8E3B399,20211105
165,706.29,706.29,154,2021-11-05 13:22:57+00:00,2021-11-05 13:25:52+00:00,4,0007A8E3B399,20211105
166,575.85,1001.3499999999999,60,2021-11-05 13:27:21+00:00,2021-11-05 13:29:13+00:00,5,0007A8E3B399,20211105
167,547.84,616.23,10,2021-11-04 22:31:53+00:00,2021-11-04 22:32:32+00:00,1,0007A8E3B3BC,20211105
168,1567.6699999999998,1771.6,25,2021-11-05 00:54:23+00:00,2021-11-05 00:55:08+00:00,2,0007A8E3B3BC,20211105
169,505.28,587.43,9,2021-11-05 01:48:45+00:00,2021-11-05 01:49:34+00:00,3,0007A8E3B3BC,20211105
170,1598.57,1851.3799999999999,23,2021-11-05 01:52:18+00:00,2021-11-05 01:54:19+00:00,4,0007A8E3B3BC,20211105
171,1672.9199999999998,1890.52,32,2021-11-05 05:37:34+00:00,2021-11-05 05:38:19+00:00,5,0007A8E3B3BC,20211105
172,1434.82,1621.46,21,2021-11-05 06:56:56+00:00,2021-11-05 06:57:19+00:00,6,0007A8E3B3BC,20211105
173,1023.3000000000001,1156.41,14,2021-11-05 08:47:39+00:00,2021-11-05 08:48:09+00:00,7,0007A8E3B3BC,20211105
174,1833.32,2071.8,28,2021-11-05 11:23:30+00:00,2021-11-05 11:24:09+00:00,8,0007A8E3B3BC,20211105
175,1288.8,1456.45,39,2021-11-05 11:29:47+00:00,2021-11-05 11:30:40+00:00,9,0007A8E3B3BC,20211105
176,1726.98,1951.62,26,2021-11-05 13:06:24+00:00,2021-11-05 13:07:00+00:00,10,0007A8E3B3BC,20211105
177,717.66,811.01,11,2021-11-05 13:33:18+00:00,2021-11-05 13:33:49+00:00,11,0007A8E3B3BC,20211105
178,1171.44,1323.8200000000002,15,2021-11-05 13:38:39+00:00,2021-11-05 13:39:40+00:00,12,0007A8E3B3BC,20211105
179,882.27,1025.73,18,2021-11-05 13:58:58+00:00,2021-11-05 13:59:27+00:00,13,0007A8E3B3BC,20211105
180,900.7199999999999,1017.8900000000001,13,2021-11-05 15:26:26+00:00,2021-11-05 15:27:16+00:00,14,0007A8E3B3BC,20211105
181,1468.06,1687.23,21,2021-11-05 15:28:20+00:00,2021-11-05 15:30:12+00:00,15,0007A8E3B3BC,20211105
182,59.7,59.7,11,2021-11-05 13:50:24+00:00,2021-11-05 13:50:57+00:00,1,0007A8E3B42E,20211105
183,26.43,26.43,8,2021-11-05 13:52:36+00:00,2021-11-05 13:52:50+00:00,2,0007A8E3B42E,20211105
184,54.94,54.94,11,2021-11-05 14:00:20+00:00,2021-11-05 14:00:43+00:00,3,0007A8E3B42E,20211105
185,67.25,67.25,7,2021-11-05 14:09:32+00:00,2021-11-05 14:09:50+00:00,4,0007A8E3B42E,20211105
186,54.59,54.59,14,2021-11-05 15:48:43+00:00,2021-11-05 15:49:20+00:00,5,0007A8E3B42E,20211105
187,46.48,46.48,12,2021-11-05 15:52:17+00:00,2021-11-05 15:53:04+00:00,6,0007A8E3B42E,20211105
188,253.12,253.12,64,2021-11-05 15:55:33+00:00,2021-11-05 15:59:58+00:00,7,0007A8E3B42E,20211105
189,78.02,88.78999999999999,27,2021-11-04 23:31:37+00:00,2021-11-04 23:32:15+00:00,1,0007A8E3B43F,20211105
190,321.04,374.9,39,2021-11-04 23:40:29+00:00,2021-11-04 23:41:32+00:00,2,0007A8E3B43F,20211105
191,85.49,91.55999999999999,25,2021-11-05 05:52:53+00:00,2021-11-05 05:53:48+00:00,3,0007A8E3B43F,20211105
192,55.42999999999999,61.51,13,2021-11-05 11:37:08+00:00,2021-11-05 11:38:08+00:00,4,0007A8E3B43F,20211105
193,87.05,105.06,16,2021-11-04 21:50:07+00:00,2021-11-04 21:51:23+00:00,1,0007A8E3B4A3,20211105
194,172.84,202.64000000000001,29,2021-11-04 22:43:57+00:00,2021-11-04 22:44:34+00:00,2,0007A8E3B4A3,20211105
195,41.59,48.769999999999996,7,2021-11-04 22:46:00+00:00,2021-11-04 22:46:14+00:00,3,0007A8E3B4A3,20211105
196,108.47,127.16999999999999,18,2021-11-04 22:49:59+00:00,2021-11-04 22:50:30+00:00,4,0007A8E3B4A3,20211105
197,19.21,22.52,9,2021-11-04 23:12:36+00:00,2021-11-04 23:12:50+00:00,5,0007A8E3B4A3,20211105
198,431.26,502.9000000000001,83,2021-11-04 23:15:44+00:00,2021-11-04 23:19:23+00:00,6,0007A8E3B4A3,20211105
199,118.78,118.78,19,2021-11-05 05:34:01+00:00,2021-11-05 05:34:44+00:00,7,0007A8E3B4A3,20211105
200,16.53,16.53,6,2021-11-05 05:35:54+00:00,2021-11-05 05:36:54+00:00,8,0007A8E3B4A3,20211105
201,165.45,165.45,28,2021-11-05 10:41:10+00:00,2021-11-05 10:43:02+00:00,9,0007A8E3B4A3,20211105
202,634.13,634.13,98,2021-11-05 12:36:31+00:00,2021-11-05 12:39:51+00:00,10,0007A8E3B4A3,20211105
203,178.94,308.51,41,2021-11-05 14:20:10+00:00,2021-11-05 14:21:27+00:00,11,0007A8E3B4A3,20211105
